b8,h,b,eb
754,FFE501,111111111110010100000001,001011110010
753,FFE301,111111111110001100000001,001011110001
752,FFE101,111111111110000100000001,001011110000
751,FFDF01,111111111101111100000001,001011101111
750,FFDD01,111111111101110100000001,001011101110
749,FFDB01,111111111101101100000001,001011101101
748,FFD901,111111111101100100000001,001011101100
747,FFD701,111111111101011100000001,001011101011
746,FFD501,111111111101010100000001,001011101010
745,FFD301,111111111101001100000001,001011101001
744,FFD101,111111111101000100000001,001011101000
743,FFCF01,111111111100111100000001,001011100111
742,FFCD01,111111111100110100000001,001011100110
741,FFCB01,111111111100101100000001,001011100101
740,FFC901,111111111100100100000001,001011100100
739,FFC701,111111111100011100000001,001011100011
738,FFC501,111111111100010100000001,001011100010
737,FFC301,111111111100001100000001,001011100001
736,FFC101,111111111100000100000001,001011100000
735,FFBF01,111111111011111100000001,001011011111
734,FFBD01,111111111011110100000001,001011011110
733,FFBB01,111111111011101100000001,001011011101
732,FFB901,111111111011100100000001,001011011100
731,FFB701,111111111011011100000001,001011011011
730,FFB501,111111111011010100000001,001011011010
729,FFB301,111111111011001100000001,001011011001
728,FFB101,111111111011000100000001,001011011000
727,FFAF01,111111111010111100000001,001011010111
726,FFAD01,111111111010110100000001,001011010110
725,FFAB01,111111111010101100000001,001011010101
724,FFA901,111111111010100100000001,001011010100
723,FFA701,111111111010011100000001,001011010011
722,FFA501,111111111010010100000001,001011010010
721,FFA301,111111111010001100000001,001011010001
720,FFA101,111111111010000100000001,001011010000
719,FF9F01,111111111001111100000001,001011001111
718,FF9D01,111111111001110100000001,001011001110
717,FF9B01,111111111001101100000001,001011001101
716,FF9901,111111111001100100000001,001011001100
715,FF9701,111111111001011100000001,001011001011
714,FF9501,111111111001010100000001,001011001010
713,FF9301,111111111001001100000001,001011001001
712,FF9101,111111111001000100000001,001011001000
711,FF8F01,111111111000111100000001,001011000111
710,FF8D01,111111111000110100000001,001011000110
709,FF8B01,111111111000101100000001,001011000101
708,FF8901,111111111000100100000001,001011000100
707,FF8701,111111111000011100000001,001011000011
706,FF8501,111111111000010100000001,001011000010
705,FF8301,111111111000001100000001,001011000001
704,FF8101,111111111000000100000001,001011000000
703,FF7F01,111111110111111100000001,001010111111
702,FF7D01,111111110111110100000001,001010111110
701,FF7B01,111111110111101100000001,001010111101
700,FF7901,111111110111100100000001,001010111100
699,FF7701,111111110111011100000001,001010111011
698,FF7501,111111110111010100000001,001010111010
697,FF7301,111111110111001100000001,001010111001
696,FF7101,111111110111000100000001,001010111000
695,FF6F01,111111110110111100000001,001010110111
694,FF6D01,111111110110110100000001,001010110110
693,FF6B01,111111110110101100000001,001010110101
692,FF6901,111111110110100100000001,001010110100
691,FF6701,111111110110011100000001,001010110011
690,FF6501,111111110110010100000001,001010110010
689,FF6301,111111110110001100000001,001010110001
688,FF6101,111111110110000100000001,001010110000
687,FF5F01,111111110101111100000001,001010101111
686,FF5D01,111111110101110100000001,001010101110
685,FF5B01,111111110101101100000001,001010101101
684,FF5901,111111110101100100000001,001010101100
683,FF5701,111111110101011100000001,001010101011
682,FF5501,111111110101010100000001,001010101010
681,FF5301,111111110101001100000001,001010101001
680,FF5101,111111110101000100000001,001010101000
679,FF4F01,111111110100111100000001,001010100111
678,FF4D01,111111110100110100000001,001010100110
677,FF4B01,111111110100101100000001,001010100101
676,FF4901,111111110100100100000001,001010100100
675,FF4701,111111110100011100000001,001010100011
674,FF4501,111111110100010100000001,001010100010
673,FF4301,111111110100001100000001,001010100001
672,FF4101,111111110100000100000001,001010100000
671,FF3F01,111111110011111100000001,001010011111
670,FF3D01,111111110011110100000001,001010011110
669,FF3B01,111111110011101100000001,001010011101
668,FF3901,111111110011100100000001,001010011100
667,FF3701,111111110011011100000001,001010011011
666,FF3501,111111110011010100000001,001010011010
665,FF3301,111111110011001100000001,001010011001
664,FF3101,111111110011000100000001,001010011000
663,FF2F01,111111110010111100000001,001010010111
662,FF2D01,111111110010110100000001,001010010110
661,FF2B01,111111110010101100000001,001010010101
660,FF2901,111111110010100100000001,001010010100
659,FF2701,111111110010011100000001,001010010011
658,FF2501,111111110010010100000001,001010010010
657,FF2301,111111110010001100000001,001010010001
656,FF2101,111111110010000100000001,001010010000
655,FF1F01,111111110001111100000001,001010001111
654,FF1D01,111111110001110100000001,001010001110
653,FF1B01,111111110001101100000001,001010001101
652,FF1901,111111110001100100000001,001010001100
651,FF1701,111111110001011100000001,001010001011
650,FF1501,111111110001010100000001,001010001010
649,FF1301,111111110001001100000001,001010001001
648,FF1101,111111110001000100000001,001010001000
647,FF0F01,111111110000111100000001,001010000111
646,FF0D01,111111110000110100000001,001010000110
645,FF0B01,111111110000101100000001,001010000101
644,FF0901,111111110000100100000001,001010000100
643,FF0701,111111110000011100000001,001010000011
642,FF0501,111111110000010100000001,001010000010
641,FF0301,111111110000001100000001,001010000001
640,FF0101,111111110000000100000001,001010000000
639,FDFFFF,111111011111111111111111,001001111111
638,FDFDFF,111111011111110111111111,001001111110
637,FDFBFF,111111011111101111111111,001001111101
636,FDF9FF,111111011111100111111111,001001111100
635,FDF7FF,111111011111011111111111,001001111011
634,FDF5FF,111111011111010111111111,001001111010
633,FDF3FF,111111011111001111111111,001001111001
632,FDF1FF,111111011111000111111111,001001111000
631,FDEFFF,111111011110111111111111,001001110111
630,FDEDFF,111111011110110111111111,001001110110
629,FDEBFF,111111011110101111111111,001001110101
628,FDE9FF,111111011110100111111111,001001110100
627,FDE7FF,111111011110011111111111,001001110011
626,FDE5FF,111111011110010111111111,001001110010
625,FDE3FF,111111011110001111111111,001001110001
624,FDE1FF,111111011110000111111111,001001110000
623,FDDFFF,111111011101111111111111,001001101111
622,FDDDFF,111111011101110111111111,001001101110
621,FDDBFF,111111011101101111111111,001001101101
620,FDD9FF,111111011101100111111111,001001101100
619,FDD7FF,111111011101011111111111,001001101011
618,FDD5FF,111111011101010111111111,001001101010
617,FDD3FF,111111011101001111111111,001001101001
616,FDD1FF,111111011101000111111111,001001101000
615,FDCFFF,111111011100111111111111,001001100111
614,FDCDFF,111111011100110111111111,001001100110
613,FDCBFF,111111011100101111111111,001001100101
612,FDC9FF,111111011100100111111111,001001100100
611,FDC7FF,111111011100011111111111,001001100011
610,FDC5FF,111111011100010111111111,001001100010
609,FDC3FF,111111011100001111111111,001001100001
608,FDC1FF,111111011100000111111111,001001100000
607,FDBFFF,111111011011111111111111,001001011111
606,FDBDFF,111111011011110111111111,001001011110
605,FDBBFF,111111011011101111111111,001001011101
604,FDB9FF,111111011011100111111111,001001011100
603,FDB7FF,111111011011011111111111,001001011011
602,FDB5FF,111111011011010111111111,001001011010
601,FDB3FF,111111011011001111111111,001001011001
600,FDB1FF,111111011011000111111111,001001011000
599,FDAFFF,111111011010111111111111,001001010111
598,FDADFF,111111011010110111111111,001001010110
597,FDABFF,111111011010101111111111,001001010101
596,FDA9FF,111111011010100111111111,001001010100
595,FDA7FF,111111011010011111111111,001001010011
594,FDA5FF,111111011010010111111111,001001010010
593,FDA3FF,111111011010001111111111,001001010001
592,FDA1FF,111111011010000111111111,001001010000
591,FD9FFF,111111011001111111111111,001001001111
590,FD9DFF,111111011001110111111111,001001001110
589,FD9BFF,111111011001101111111111,001001001101
588,FD99FF,111111011001100111111111,001001001100
587,FD97FF,111111011001011111111111,001001001011
586,FD95FF,111111011001010111111111,001001001010
585,FD93FF,111111011001001111111111,001001001001
584,FD91FF,111111011001000111111111,001001001000
583,FD8FFF,111111011000111111111111,001001000111
582,FD8DFF,111111011000110111111111,001001000110
581,FD8BFF,111111011000101111111111,001001000101
580,FD89FF,111111011000100111111111,001001000100
579,FD87FF,111111011000011111111111,001001000011
578,FD85FF,111111011000010111111111,001001000010
577,FD83FF,111111011000001111111111,001001000001
576,FD81FF,111111011000000111111111,001001000000
574,FD7DFF,111111010111110111111111,001000111110
573,FD7BFF,111111010111101111111111,001000111101
572,FD79FF,111111010111100111111111,001000111100
571,FD77FF,111111010111011111111111,001000111011
570,FD75FF,111111010111010111111111,001000111010
569,FD73FF,111111010111001111111111,001000111001
568,FD71FF,111111010111000111111111,001000111000
567,FD6FFF,111111010110111111111111,001000110111
566,FD6DFF,111111010110110111111111,001000110110
565,FD6BFF,111111010110101111111111,001000110101
564,FD69FF,111111010110100111111111,001000110100
563,FD67FF,111111010110011111111111,001000110011
562,FD65FF,111111010110010111111111,001000110010
561,FD63FF,111111010110001111111111,001000110001
560,FD61FF,111111010110000111111111,001000110000
559,FD5FFF,111111010101111111111111,001000101111
558,FD5DFF,111111010101110111111111,001000101110
557,FD5BFF,111111010101101111111111,001000101101
556,FD59FF,111111010101100111111111,001000101100
555,FD57FF,111111010101011111111111,001000101011
554,FD55FF,111111010101010111111111,001000101010
553,FD53FF,111111010101001111111111,001000101001
552,FD51FF,111111010101000111111111,001000101000
551,FD4FFF,111111010100111111111111,001000100111
550,FD4DFF,111111010100110111111111,001000100110
549,FD4BFF,111111010100101111111111,001000100101
548,FD49FF,111111010100100111111111,001000100100
547,FD47FF,111111010100011111111111,001000100011
546,FD45FF,111111010100010111111111,001000100010
545,FD43FF,111111010100001111111111,001000100001
544,FD41FF,111111010100000111111111,001000100000
543,FD3FFF,111111010011111111111111,001000011111
542,FD3DFF,111111010011110111111111,001000011110
541,FD3BFF,111111010011101111111111,001000011101
540,FD39FF,111111010011100111111111,001000011100
539,FD37FF,111111010011011111111111,001000011011
538,FD35FF,111111010011010111111111,001000011010
537,FD33FF,111111010011001111111111,001000011001
536,FD31FF,111111010011000111111111,001000011000
535,FD2FFF,111111010010111111111111,001000010111
534,FD2DFF,111111010010110111111111,001000010110
533,FD2BFF,111111010010101111111111,001000010101
532,FD29FF,111111010010100111111111,001000010100
531,FD27FF,111111010010011111111111,001000010011
530,FD25FF,111111010010010111111111,001000010010
529,FD23FF,111111010010001111111111,001000010001
528,FD21FF,111111010010000111111111,001000010000
527,FD1FFF,111111010001111111111111,001000001111
526,FD1DFF,111111010001110111111111,001000001110
525,FD1BFF,111111010001101111111111,001000001101
524,FD19FF,111111010001100111111111,001000001100
523,FD17FF,111111010001011111111111,001000001011
522,FD15FF,111111010001010111111111,001000001010
521,FD13FF,111111010001001111111111,001000001001
520,FD11FF,111111010001000111111111,001000001000
519,FD0FFF,111111010000111111111111,001000000111
518,FD0DFF,111111010000110111111111,001000000110
517,FD0BFF,111111010000101111111111,001000000101
516,FD09FF,111111010000100111111111,001000000100
515,FD07FF,111111010000011111111111,001000000011
514,FD05FF,111111010000010111111111,001000000010
513,FD03FF,111111010000001111111111,001000000001
512,FD01FF,111111010000000111111111,001000000000
511,FDFF01,111111011111111100000001,000111111111
510,FDFD01,111111011111110100000001,000111111110
509,FDFB01,111111011111101100000001,000111111101
508,FDF901,111111011111100100000001,000111111100
507,FDF701,111111011111011100000001,000111111011
506,FDF501,111111011111010100000001,000111111010
505,FDF301,111111011111001100000001,000111111001
504,FDF101,111111011111000100000001,000111111000
503,FDEF01,111111011110111100000001,000111110111
502,FDED01,111111011110110100000001,000111110110
501,FDEB01,111111011110101100000001,000111110101
500,FDE901,111111011110100100000001,000111110100
499,FDE701,111111011110011100000001,000111110011
498,FDE501,111111011110010100000001,000111110010
497,FDE301,111111011110001100000001,000111110001
496,FDE101,111111011110000100000001,000111110000
495,FDDF01,111111011101111100000001,000111101111
494,FDDD01,111111011101110100000001,000111101110
493,FDDB01,111111011101101100000001,000111101101
492,FDD901,111111011101100100000001,000111101100
491,FDD701,111111011101011100000001,000111101011
490,FDD501,111111011101010100000001,000111101010
489,FDD301,111111011101001100000001,000111101001
488,FDD101,111111011101000100000001,000111101000
487,FDCF01,111111011100111100000001,000111100111
486,FDCD01,111111011100110100000001,000111100110
485,FDCB01,111111011100101100000001,000111100101
484,FDC901,111111011100100100000001,000111100100
483,FDC701,111111011100011100000001,000111100011
482,FDC501,111111011100010100000001,000111100010
481,FDC301,111111011100001100000001,000111100001
480,FDC101,111111011100000100000001,000111100000
479,FDBF01,111111011011111100000001,000111011111
478,FDBD01,111111011011110100000001,000111011110
477,FDBB01,111111011011101100000001,000111011101
476,FDB901,111111011011100100000001,000111011100
475,FDB701,111111011011011100000001,000111011011
474,FDB501,111111011011010100000001,000111011010
473,FDB301,111111011011001100000001,000111011001
472,FDB101,111111011011000100000001,000111011000
471,FDAF01,111111011010111100000001,000111010111
470,FDAD01,111111011010110100000001,000111010110
469,FDAB01,111111011010101100000001,000111010101
468,FDA901,111111011010100100000001,000111010100
467,FDA701,111111011010011100000001,000111010011
466,FDA501,111111011010010100000001,000111010010
465,FDA301,111111011010001100000001,000111010001
464,FDA101,111111011010000100000001,000111010000
463,FD9F01,111111011001111100000001,000111001111
462,FD9D01,111111011001110100000001,000111001110
461,FD9B01,111111011001101100000001,000111001101
460,FD9901,111111011001100100000001,000111001100
459,FD9701,111111011001011100000001,000111001011
458,FD9501,111111011001010100000001,000111001010
457,FD9301,111111011001001100000001,000111001001
456,FD9101,111111011001000100000001,000111001000
455,FD8F01,111111011000111100000001,000111000111
454,FD8D01,111111011000110100000001,000111000110
453,FD8B01,111111011000101100000001,000111000101
452,FD8901,111111011000100100000001,000111000100
451,FD8701,111111011000011100000001,000111000011
450,FD8501,111111011000010100000001,000111000010
449,FD8301,111111011000001100000001,000111000001
448,FD8101,111111011000000100000001,000111000000
447,FD7F01,111111010111111100000001,000110111111
446,FD7D01,111111010111110100000001,000110111110
445,FD7B01,111111010111101100000001,000110111101
444,FD7901,111111010111100100000001,000110111100
443,FD7701,111111010111011100000001,000110111011
442,FD7501,111111010111010100000001,000110111010
441,FD7301,111111010111001100000001,000110111001
440,FD7101,111111010111000100000001,000110111000
439,FD6F01,111111010110111100000001,000110110111
438,FD6D01,111111010110110100000001,000110110110
437,FD6B01,111111010110101100000001,000110110101
436,FD6901,111111010110100100000001,000110110100
435,FD6701,111111010110011100000001,000110110011
434,FD6501,111111010110010100000001,000110110010
433,FD6301,111111010110001100000001,000110110001
432,FD6101,111111010110000100000001,000110110000
431,FD5F01,111111010101111100000001,000110101111
430,FD5D01,111111010101110100000001,000110101110
429,FD5B01,111111010101101100000001,000110101101
428,FD5901,111111010101100100000001,000110101100
427,FD5701,111111010101011100000001,000110101011
426,FD5501,111111010101010100000001,000110101010
425,FD5301,111111010101001100000001,000110101001
424,FD5101,111111010101000100000001,000110101000
423,FD4F01,111111010100111100000001,000110100111
422,FD4D01,111111010100110100000001,000110100110
421,FD4B01,111111010100101100000001,000110100101
420,FD4901,111111010100100100000001,000110100100
419,FD4701,111111010100011100000001,000110100011
418,FD4501,111111010100010100000001,000110100010
417,FD4301,111111010100001100000001,000110100001
416,FD4101,111111010100000100000001,000110100000
415,FD3F01,111111010011111100000001,000110011111
414,FD3D01,111111010011110100000001,000110011110
413,FD3B01,111111010011101100000001,000110011101
412,FD3901,111111010011100100000001,000110011100
411,FD3701,111111010011011100000001,000110011011
410,FD3501,111111010011010100000001,000110011010
409,FD3301,111111010011001100000001,000110011001
408,FD3101,111111010011000100000001,000110011000
407,FD2F01,111111010010111100000001,000110010111
406,FD2D01,111111010010110100000001,000110010110
405,FD2B01,111111010010101100000001,000110010101
404,FD2901,111111010010100100000001,000110010100
403,FD2701,111111010010011100000001,000110010011
402,FD2501,111111010010010100000001,000110010010
401,FD2301,111111010010001100000001,000110010001
400,FD2101,111111010010000100000001,000110010000
399,FD1F01,111111010001111100000001,000110001111
398,FD1D01,111111010001110100000001,000110001110
397,FD1B01,111111010001101100000001,000110001101
396,FD1901,111111010001100100000001,000110001100
395,FD1701,111111010001011100000001,000110001011
394,FD1501,111111010001010100000001,000110001010
